                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8216,                  13.07,                 2.8642,                0.02074,                0.33333,                0.09623,                0.02728,                 2.6886,                 11.349,                 2.9945,                      0,                      0,                      0
                      2,                 2.6073,                 11.812,                 2.5921,                  0.022,                0.33333,                 0.0984,                0.02743,                 2.6789,                 11.669,                  2.976,             8.0001e-06,             8.0001e-06,             8.0001e-06
                      3,                 2.6664,                  14.04,                 2.6925,                0.02371,                0.33333,                0.18341,                0.05263,                  2.707,                 11.923,                 3.0031,             1.5341e-05,             1.5341e-05,             1.5341e-05
                      4,                 2.6529,                 11.307,                 2.7097,                0.02381,                0.33333,                0.17621,                0.05163,                 2.7095,                 12.017,                 3.0107,             2.2021e-05,             2.2021e-05,             2.2021e-05
                      5,                 2.3609,                 15.057,                 2.5249,                0.02621,                0.33333,                0.17759,                0.05157,                 2.7238,                 12.099,                 3.0179,             2.8042e-05,             2.8042e-05,             2.8042e-05
                      6,                 2.6155,                 11.972,                 2.6525,                0.02976,                0.33333,                0.17705,                0.05113,                 2.7534,                 12.045,                 3.0313,             3.3403e-05,             3.3403e-05,             3.3403e-05
                      7,                 2.5497,                 10.868,                  2.515,                0.02961,                0.33333,                0.17783,                0.06777,                 2.7741,                  11.94,                 3.0758,             3.8105e-05,             3.8105e-05,             3.8105e-05
                      8,                 2.5174,                 11.693,                 2.6138,                0.02437,                0.27778,                0.09444,                0.03477,                 2.8065,                 11.744,                 3.1138,             4.2146e-05,             4.2146e-05,             4.2146e-05
                      9,                 2.3749,                 13.117,                 2.4518,                0.55299,                0.11111,                0.04817,                0.00915,                 2.5856,                 11.602,                 3.0149,             4.5528e-05,             4.5528e-05,             4.5528e-05
                     10,                 2.3313,                  7.311,                 2.5327,                0.77114,                0.11111,                0.11496,                0.02596,                 2.4281,                 12.546,                  2.991,             4.8251e-05,             4.8251e-05,             4.8251e-05
                     11,                 1.9808,                 4.8205,                 2.1408,                0.56127,                0.11111,                0.11771,                0.05029,                 2.2602,                 20.016,                 2.9131,             5.0313e-05,             5.0313e-05,             5.0313e-05
                     12,                 1.9903,                 3.9768,                 2.1496,                0.55666,                0.11111,                0.12353,                0.05938,                 2.2681,                 24.257,                 2.9521,             5.1716e-05,             5.1716e-05,             5.1716e-05
                     13,                 1.7961,                 3.9072,                 2.0481,                0.23504,                0.16667,                0.11607,                0.05232,                 2.3532,                 29.179,                 2.9657,             5.2459e-05,             5.2459e-05,             5.2459e-05
                     14,                 2.0495,                 3.5319,                 2.1688,                 0.2301,                0.11111,                  0.087,                0.05076,                 2.3798,                   34.5,                 2.8734,             5.2542e-05,             5.2542e-05,             5.2542e-05
                     15,                   1.83,                 3.8162,                 2.0878,                0.21249,                0.16667,                0.05161,                0.02826,                 2.2976,                 37.317,                 2.8033,             5.1966e-05,             5.1966e-05,             5.1966e-05
                     16,                 2.2824,                 5.5389,                 2.3866,                 0.1828,                0.33333,                0.26881,                0.10817,                  2.352,                 32.388,                 2.8171,              5.073e-05,              5.073e-05,              5.073e-05
                     17,                 2.2432,                 5.2412,                 2.3031,                0.36598,                0.33333,                0.28583,                0.11924,                 2.3203,                 25.579,                 2.8239,             4.8834e-05,             4.8834e-05,             4.8834e-05
                     18,                 2.4665,                 5.3155,                 2.6176,                0.36598,                0.33333,                0.28583,                0.11924,                 2.3203,                 25.579,                 2.8239,             4.6278e-05,             4.6278e-05,             4.6278e-05
                     19,                 2.1444,                 4.7435,                 2.1982,                0.38921,                0.33333,                0.31792,                0.12985,                 2.3129,                 19.074,                   2.82,             4.3063e-05,             4.3063e-05,             4.3063e-05
                     20,                 1.7165,                 4.2638,                 1.8896,                0.38921,                0.33333,                0.31792,                0.12985,                 2.3129,                 19.074,                   2.82,             3.9188e-05,             3.9188e-05,             3.9188e-05
                     21,                 2.1841,                 4.6091,                 2.4073,                0.40656,                0.33333,                0.33167,                0.14531,                 2.2575,                 14.681,                 2.8582,             3.4653e-05,             3.4653e-05,             3.4653e-05
                     22,                 1.6728,                 3.9446,                 1.7645,                0.40656,                0.33333,                0.33167,                0.14531,                 2.2575,                 14.681,                 2.8582,             2.9458e-05,             2.9458e-05,             2.9458e-05
                     23,                 2.1321,                 4.6779,                 2.2342,                0.57367,                0.33333,                0.33956,                0.16662,                 2.2309,                 11.541,                 2.7901,             2.3604e-05,             2.3604e-05,             2.3604e-05
                     24,                 1.9313,                 4.2155,                 2.0699,                0.57367,                0.33333,                0.33956,                0.16662,                 2.2309,                 11.541,                 2.7901,              1.709e-05,              1.709e-05,              1.709e-05
                     25,                 2.2637,                 4.9755,                 2.3891,                0.57763,                0.33333,                0.40083,                0.16588,                 2.2032,                 10.407,                 2.7872,              9.916e-06,              9.916e-06,              9.916e-06
